,audit,happiness,maxDances,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A109,No,1.1838106958915637,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
A11,No,0.13317855801757728,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A110,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111,No,0.6897833311594564,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A112,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A113,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A114,No,0.6391511932854699,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A115,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A116,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A117,No,0.6778380606236714,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A118,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A119,No,0.4713660531805519,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A12,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A120,No,0.5952916404800807,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
A121,No,0.1575199690827349,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A122,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A123,No,0.4114809445885168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A124,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A125,No,0.13317855801757728,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A126,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A127,No,0.6391511932854699,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A128,No,0.6391511932854699,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A129,No,0.5446595026060941,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A13,No,0.56068505839274,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A130,No,0.36084880671453023,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A131,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A132,No,0.27830238657093964,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A133,No,0.36084880671453023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A134,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A135,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A136,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A137,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A138,No,0.772329751303047,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A139,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A14,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A140,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A141,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A142,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A143,No,0.1575199690827349,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A144,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A145,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A146,No,0.13317855801757728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A147,No,0.36084880671453023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A148,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A149,No,0.4873916089671977,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A15,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A150,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A151,No,0.27830238657093964,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A152,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A153,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A154,No,0.18381069589156385,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A155,No,1.544659502606094,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A156,No,0.27830238657093964,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A157,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A158,No,0.6045446111981291,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
A159,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A16,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A160,No,0.24369580448359884,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A161,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A162,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A163,No,0.3330148096957869,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A164,No,0.9561404471946109,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A165,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A166,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A167,No,0.11051724646602179,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A168,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A169,No,0.4713660531805519,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A17,No,0.5446595026060941,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A170,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A171,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A172,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A173,No,0.19983625167820984,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A174,No,1.1105172464660218,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A175,No,0.06940631839298106,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A176,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A177,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A178,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A179,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A18,No,1.544659502606094,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A180,No,0.24369580448359884,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A181,No,0.4713660531805519,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A182,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A183,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A184,No,0.4713660531805519,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A185,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A186,No,0.1575199690827349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A187,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A188,No,1.0506321378739867,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A189,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19,No,0.24369580448359884,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A190,No,0.4713660531805519,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A191,No,0.772329751303047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A192,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A193,No,0.6391511932854699,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A194,No,0.772329751303047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A195,No,0.27830238657093964,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A196,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A197,No,0.18381069589156385,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A198,No,0.36084880671453023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A199,No,1.1105172464660218,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A2,No,0.13317855801757728,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A20,No,0.4940273647321075,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
A200,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A201,No,0.4713660531805519,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A202,No,0.4114809445885168,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A203,No,0.3169892539091411,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A204,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A205,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A206,No,0.6391511932854699,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A207,No,0.36084880671453023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A208,No,0.4713660531805519,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A209,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A21,No,1.1838106958915637,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A210,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A211,No,1.3169892539091412,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A212,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A213,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A214,No,0.05063213787398668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A215,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A216,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A217,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A218,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A219,No,0.3131021228765799,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A22,No,0.772329751303047,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A220,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A221,No,0.4114809445885168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A222,No,0.6339785078182821,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A223,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A224,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A225,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A226,No,0.45608614751834264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
A227,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A228,No,0.27830238657093964,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A229,No,0.24369580448359884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A23,No,0.4114809445885168,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A25,No,0.16114938434000847,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A26,No,0.4713660531805519,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A27,No,0.6391511932854699,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A28,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A29,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A30,No,0.24369580448359884,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A31,No,0.4713660531805519,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A32,No,0.6897833311594566,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A33,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A34,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A35,No,0.6391511932854699,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A36,No,0.2906985271003122,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A37,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A38,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A39,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A40,No,0.5446595026060941,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A41,No,0.1575199690827349,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A42,No,0.5446595026060941,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A43,No,0.772329751303047,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A44,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A45,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A46,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A47,No,0.11051724646602179,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A48,No,0.18381069589156385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A49,No,0.4713660531805519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A50,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51,No,0.36084880671453023,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A52,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A53,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A54,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A55,No,0.2123903430347438,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A56,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A57,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A58,No,0.3169892539091411,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A59,No,0.06940631839298106,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A6,No,1.544659502606094,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A60,No,0.11051724646602179,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A61,No,0.40121577356633376,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A62,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A63,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A64,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A65,No,0.3169892539091411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A66,No,0.13317855801757728,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A67,No,1.0893190052121882,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A68,No,1.1105172464660218,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A69,No,1.1105172464660218,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A7,No,0.2123903430347438,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A70,No,0.5446595026060941,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A71,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A72,No,0.1575199690827349,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A73,No,0.8515415363202137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
A74,No,0.6339785078182821,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A75,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A76,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A77,No,0.5446595026060941,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A78,No,0.4114809445885168,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A79,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A80,No,0.5446595026060941,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A81,No,0.4114809445885168,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A82,No,0.5446595026060941,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A83,No,0.24369580448359884,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A84,No,1.243695804483599,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
A85,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A86,No,0.2123903430347438,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A87,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A88,No,0.4713660531805519,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A89,No,0.08931900521218805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A9,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A90,No,0.8417360696960281,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
A91,No,0.2123903430347438,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A92,No,0.772329751303047,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A93,No,0.5446595026060941,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A94,No,0.43582235565367455,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A95,No,0.3169892539091411,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A96,No,0.3169892539091411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A97,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A98,No,0.39620103892630765,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A99,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
